file	sentence	voicevox_says	kuromoji_expects	has_r
n4_0.json	最近、社会のニュースを見て、政治と経済、文化や歴史についてよく考えるようになりました。	さいきんしゃかいのにゅうすおみてせえじとけえざいぶんかやれきしについてよくかんがえるよおになりました	さいきんしゃかいのにゅすおみてせえじとけえざいぶんかやれきしについてよくかんがえるよおになりました	
n4_2.json	私の研究のテーマは、外国人への日本語教育について。	わたしのけんきゅうのてえまわがいこくじんえのにほんごきょおいくについて	わたしのけんきゅうのてまわがいこくじんえのにほんごきょおいくについて	
n4_2.json	先日、デパートの売り場で、教授へのお祝いの品物を買いました。	せんじつでぱあとのおりばできょおじゅえのおいわいのしなものおかいました	せんじつでぱとのおりばできょおじゅえのおいわいのしなものおかいました	
n4_5.json	電車、バス、タクシー、自転車、飛行機、船 — どこへでも行けます。	でんしゃばすたくしいじてんしゃひこおきふねどこえでもいけます	でんしゃばすたくしじてんしゃひこおきふねどこえでもいけます	
n4_5.json	片道5時間、急行を使ったら6時間かかります。	かたみちごじかんきゅうこおつかったらろくじかんかかります	かたみちじかんきゅうこおつかったらじかんかかります	
n4_6.json	夕方、旅館にチェックイン。事務所みたいに立派な入口、地下に温泉、階段で2階の部屋へ。	ゆうがたりょかんにちぇっくいんじむしょみたいにりっぱないりぐちちかにおんせんかいだんでにかいのえやえ	ゆうがたりょかんにちぇっくいんじむしょみたいにりっぱないりぐちちかにおんせんかいだんでかいのえやえ	
n4_8.json	庭ではボールで遊んで、家では人形と話していました。	にわでわぼおるであそんでえでわにんぎょおとわなしてえました	にわでわぼるであそんでえでわにんぎょおとわなしてえました	
n4_8.json	最近は、サッカーの試合を見たり、テレビの番組をチェックしたりしています。	さいきんわさっかあのしあいおみたりてれびのばんぐみおちぇっくしたりしてえます	さいきんわさっかのしあいおみたりてれびのばんぐみおちぇっくしたりしてえます	
n4_9.json	メニューを見て、注文に迷いました。	めにゅうおみてちゅうもんにまよいました	めにゅおみてちゅうもんにまよいました	
n4_9.json	カウンターで丼の絵と写真を見て、味噌汁付きの定食を選びました。	かうんたあでどんぶりのえとしゃしんおみてみそしるつきのてえしょくおえらびました	かうんたでどんぶりのえとしゃしんおみてみそしるつきのてえしょくおえらびました	
n4_10.json	指を曲げたり、腕を回したり、首を回したり、肩のストレッチも一通り。	ゆびおまげたりうでおまわしたりくびおまわしたりかたのすとれっちもひととおり	ゆびおまげたりうでおまわしたりくびおまわしたりかたのすとれっちもいちとおり	
n4_10.json	終わった後、血の流れが良くなって、声まで元気になります。	おわったあとちのながれがよくなってこえまでげんきになります	おわったのちちのながれがよくなってこえまでげんきになります	
n4_10.json	『健康第一』 — これが最近の私のモットーです。時々、感動して涙が出ます(笑)。	けんこおだいちこれがさいきんのわたしのもっとおですときどきかんどおしてなみだがでますわらい	けんこおだいちこれがさいきんのわたしのもっとですときどきかんどおしてなみだがでますえみ	
n4_11.json	結果的に、軽い風邪と熱もあって、3日間入院になりました。	けっかてきにかるいかぜとねつもあってみっかかんにゅういんになりました	けっかてきにかるいかぜとねつもあってにちかんにゅういんになりました	
n4_12.json	うちのペットの犬も一緒。毛が長くて、葉っぱや羽が引っかかっていました。	うちのぺっとのいぬもいっしょけがながくてわっぱやわねがひっかかってえました	うちのぺっとのいぬもいっしょもおがながくてわっぱやわねがひっかかってえました	
n4_13.json	先月、海外旅行のためにパスポートとビザの申込みをしました。	せんげつかいがいりょこおのためにぱすぽおととびざのもおしこみおしました	せんげつかいがいりょこおのためにぱすぽととびざのさるこみおしました	
n4_13.json	市役所で住所変更の届出をした後、領事館で予約を取ってビザの手続きをしました。	しやくしょでじゅうしょえんこおのとどけでおしたあとりょおじかんでよやくおとってびざのてつずきおしました	しやくしょでじゅうしょえんこおのとどけでおしたのちりょおじかんでよやくおとってびざのてつずきおしました	
n4_13.json	途中、家の近くで事故と事件のニュースを聞きました。	とちゅういえのちかくでじことじけんのにゅうすおききました	とちゅういえのちかくでじことじけんのにゅすおききました	
n4_14.json	銀行で通帳と現金を確認しました。貯金が少し増えていて、嬉しいです。	ぎんこおでつうちょおとげんきんおかくにんしましたちょきんがすこしふえてえてうれしいです	ぎんこおでかよいちょおとげんきんおかくにんしましたちょきんがすこしふえてえてうれしいです	
n4_14.json	カードで払う時はサイン、印鑑が必要な手続きもあります。	かあどでわらうときわさいんいんかんがひつよおなてつずきもあります	かどでわらうときわさいんいんかんがひつよおなてつずきもあります	
n4_14.json	機械が壊れて、レシートが出ない日もあります。	きかいがこわれてれしいとがでないひもあります	きかいがこわれてれしとがでないひもあります	
n4_14.json	お会計は小銭で払いますか、それともカードで?	おかいけえわこぜにでわらいますかそれともかあどで	おかいけえわこぜにでわらいますかそれともかどで	
n4_14.json	経費の管理は会社のコンピューターで、ファイルとデータの整理が毎日の仕事。	けえひのかんりわかいしゃのこんぴゅうたあでふぁいるとでえたのせえりがまいにちのしごと	けえひのかんりわかいしゃのこんぴゅたでふぁいるとでたのせえりがまいにちのしごと	
n4_15.json	私はサラリーマンです。毎日スーツとネクタイで出勤します。	わたしわさらりいまんですまいにちすうつとねくたいでしゅっきんします	わたしわさらりまんですまいにちすつとねくたいでしゅっきんします	
n4_15.json	結婚指輪と、シンプルなアクセサリーも忘れずに。	けっこんゆびわとしんぷるなあくせさりいもわすれずに	けっこんゆびわとしんぷるなあくせさりもわすれずに	
n4_15.json	シャツの柄と模様は色々ですが、ネイビーが一番好きです。	しゃつのえともよおわいろいろですがねえびいがいちばんすきです	しゃつのえともよおわいろいろですがねえびがいちばんすきです	
n4_15.json	会社では、書類のコピーとプリントを毎日大量にします。	かいしゃでわしょるいのこぴいとぷりんとおまいにちたいりょおにします	かいしゃでわしょるいのこぴとぷりんとおまいにちたいりょおにします	
n4_15.json	データを集める係も、社員全員が集まる定例会の運営も、私の担当です。	でえたおあつめるかかりもしゃいんぜんいんがあつまるてえれえかいのおんえもわたしのたんとおです	でたおあつめるかかりもしゃいんぜんいんがあつまるてえれえかいのおんえもわたしのたんとおです	
n4_16.json	コピー機が壊れていました。古いから、いつか倒れそうです。子供が遊んでも壊さないでね、椅子も倒さないように。	こぴいきがこわれてえましたふるいからいつかたおれそおですこどもがあそんでもこわさないでねえすもたおさないよおに	こぴきがこわれてえましたふるいからいつかたおれそおですこどもがあそんでもこわさないでねえすもたおさないよおに	
n4_16.json	コーヒーを落として、シャツが汚れました。誰かが新しい服を汚す前に、急いで拭きました。	こおひいおとしてしゃつがよごれましただれかがあたらしいふくおけがすまえにいそいでぶきました	こひおとしてしゃつがよごれましただれかがあたらしいふくおけがすまえにいそいでふきました	
n4_16.json	夕方、続く会議。最後にデータが落ちて、もう一度起こすほど疲れました。	ゆうがたつずくかいぎさいごにでえたがおちてもおいちどおこすほどつかれました	ゆうがたつずくかいぎさいごにでたがおちてもおいちどおこすほどつかれました	
n4_17.json	タオルを元の場所に戻して、洗濯物も棚に戻ります。	たおるおもとのばしょにもどしてせんたくものもたなにもどります	たおるおもとのばしょにもどしてせんたくぶつもたなにもどります	
n4_17.json	最後にカーテンを開いて、星を見ました。明日も止まらないで、いい一日にしたいです。	さいごにかあてんおひらいてほしおみましたあしたもとまらないでえいちにちにしたいです	さいごにかてんおひらいてほしおみましたあしたもとまらないでえいちにちにしたいです	
