text	kana	fed_text	sources
3年も住んでいれば、詳しいわけだ。	サン'ネンモ/ス'ンデ/イレ'バ、クワシ'イ/ワ'ケダ	3年も住んでいれば、詳しいわけだ。	confusables-eg
あたかも何も知らないかのように振る舞った。	ア'タカモ/ナ'ニモ/シラナイ'カノ/ヨ'オニ/フルマ'ッタ	あたかも何も知らないかのように振る舞った。	confusables-eg
あなたの気持ちは十分伝わりました。	アナ'タノ/キモチワ'/ジュウブ'ン/_ツタワリマ'_シタ	あなたの気持ちは十分伝わりました。	confusables-eg
あの先生は礼儀にやかましい。	アノ'/センセ'エワ/レエギ'ニ/ヤカマシ'イ	あの先生は礼儀にやかましい。	confusables-eg
あまりにも面白くて思わず笑った。	アマリニモ'/オモシロ'_クテ/オモワ'ズ/ワラッタ'	あまりにも面白くて思わず笑った。	confusables-eg
いかにも彼らしい発言だ。	イカ'ニモ/カ'レラシイ/ハツゲンダ'	いかにも彼らしい発言だ。	confusables-eg
いきなり殴られた。	イキナリ'/ナグ'ラレタ	いきなり殴られた。	confusables-eg
いくら頼んでも貸してくれなかった。	イ'クラ/タノ'ンデモ/カ_シテ'/クレナカッタ'	いくら頼んでも貸してくれなかった。	confusables-eg
いずれ真実が明らかになる。	イズレシ'ンジツガ/アキ'ラカニ/ナ'ル	いずれ真実が明らかになる。	confusables-eg
いつか世界一周したい。	イ'_ツカ/セカイイ'ッシュウ/_シタ'イ	いつか世界一周したい。	confusables-eg
うっかり約束を忘れてしまった。	ウッカ'リ/ヤ_クソクオ'/ワスレテ'/シマ'ッタ	うっかり約束を忘れてしまった。	confusables-eg
エンジンを止めてください。	エ'ンジンオ/トメテ'/クダサ'イ	エンジンを止めてください。	confusables-eg
おそらく間に合わないだろう。	オソ'ラク/マニアワ'ナイダロオ	おそらく間に合わないだろう。	confusables-eg
お腹がすいたから、何か食べよう。	オナカガ'/スイタ'カラ、ナ'ニカ/タベ'ヨオ	お腹がすいたから、何か食べよう。	confusables-eg
かなり難しい問題だ。	カ'ナリ/ムズカシ'イ/モンダイダ'	かなり難しい問題だ。	confusables-eg
きっちり期限を守る。	キッチ'リ/キ'ゲンオ/マモ'ル	きっちり期限を守る。	confusables-eg
きっと成功するよ。	キット'/セエコオ'/スルヨ'	きっと成功するよ。	confusables-eg
クラシック音楽を聴くのが好きだ。	クラシックオ'ンガクオ/_キク'/ノガ'/_スキ'ダ	クラシック音楽を聴くのが好きだ。	confusables-eg
けっこうおいしいですね。	ケ'ッコオ/オイシ'イデ_スネ	けっこうおいしいですね。	confusables-eg
ここから富士山が見える。	ココカラ'/フ'ジサンガ/ミエ'ル	ここから富士山が見える。	confusables-eg
ここで諦めるわけにはいかない。	ココデ'/アキラメ'ル/ワ'ケニワ/イカナイ'	ここで諦めるわけにはいかない。	confusables-eg
このホテルは家族向きだ。	コノ'/ホ'テルワ/カゾクムキダ'	このホテルは家族向きだ。	confusables-eg
この映画はなかなか面白い。	コノ'/エエガ'/カ'ナ、ハ'、ナカナカ'/オモシロ'イ	この映画kana:ハ'ナかなか面白い。	confusables-eg
この活動を通じて友達ができた。	コノ'/カツドオオ'/ツウジテ'/トモダチガ'/デキ'タ	この活動を通じて友達ができた。	confusables-eg
この靴は足に合う。	コノ'/_クツ'ワ/アシ'ニ/ア'ウ	この靴は足に合う。	confusables-eg
この小説は実話をもとに書かれた。	コノ'/ショオセツワ'/ジツワオ'/モト'ニ/カ'カレタ	この小説は実話をもとに書かれた。	confusables-eg
この問題について意見を聞かせてください。	コノ'/モンダイニ'/ツ'イテ/イ'ケンオ/_キカセテ'/クダサ'イ	この問題について意見を聞かせてください。	confusables-eg
この問題に関して意見を述べる。	コノ'/モンダイニ'/カン_シテ'/イ'ケンオ/ノベ'ル	この問題に関して意見を述べる。	confusables-eg
この問題の答えが分かりますか。	コノ'/モンダイノ'/コタ'エガ/ワカリマ'_スカ	この問題の答えが分かりますか。	confusables-eg
この問題はさっぱり分からない。	コノ'/モンダイワ'/サッパ'リ/ワカラ'ナイ	この問題はさっぱり分からない。	confusables-eg
この理論が正しいとすれば、説明がつく。	コノ'/リ'ロンガ/タダシ'イト/スレ'バ、セツメエガ'/ツ'ク	この理論が正しいとすれば、説明がつく。	confusables-eg
これからもっと難しくなっていくだろう。	コレカラ'/モ'ット/ムズカシ'クナッテ/イクダロオ'	これからもっと難しくなっていくだろう。	confusables-eg
こんな花は珍しい。	コンナ'/ハナ'ワ/メズラシ'イ	こんな花は珍しい。	confusables-eg
さすが先輩、仕事が早い。	サスガ'/センパイ'、シゴトガ'/ハヤ'イ	さすが先輩、仕事が早い。	confusables-eg
シャワーを浴びてすっきりした。	シャ'ワアオ/アビテ'/スッキ'リ/_シタ'	シャワーを浴びてすっきりした。	confusables-eg
ずいぶん待たされた。	ズ'イブン/マタ'サレタ	ずいぶん待たされた。	confusables-eg
すべての準備が整った。	ス'ベテノ/ジュ'ンビガ/トトノ'ッタ	すべての準備が整った。	confusables-eg
せっかく作ったのに、食べてくれなかった。	セッカク'/_ツク'ッタノニ、タベ'テ/クレナカッタ'	せっかく作ったのに、食べてくれなかった。	confusables-eg
ぜひ遊びに来てください。	ゼ'ヒ/アソビニ'/キ'テ/クダサ'イ	ぜひ遊びに来てください。	confusables-eg
そのうち遊びに行くよ。	ソノウチ'/アソビニ'/イクヨ'	そのうち遊びに行くよ。	confusables-eg
その件はすでに処理済みです。	ソノ'/ケ'ンワ/ス'デニ/ショリズミデ'_ス	その件はすでに処理済みです。	confusables-eg
そんなの無理に決まっている。	ソンナ'/ノ'/ム'リニ/キマッテ'/イル'	そんなの無理に決まっている。	confusables-eg
ダイエットすることにした。	ダ'イエット/スル'/コト'ニ/_シタ'	ダイエットすることにした。	confusables-eg
ダイエットをやめた。	ダ'イエットオ/ヤメ'タ	ダイエットをやめた。	confusables-eg
ダイエット中なのについケーキを食べた。	ダイエットチュウナ'ノニ/ツ'イ/ケ'エキオ/タベ'タ	ダイエット中なのについケーキを食べた。	confusables-eg
だいたいの内容は理解した。	ダイタイノ'/ナイヨオワ'/リ'カイ/_シタ'	だいたいの内容は理解した。	confusables-eg
だいぶ良くなりました。	ダイブ'/ヨクナリマ'_シタ	だいぶ良くなりました。	confusables-eg
タイヤを替えた。	タイヤオ'/カエタ'	タイヤを替えた。	confusables-eg
たとえ失敗しても、後悔しない。	タトエ'/シッパイ'/_シテモ'、コ'オカイ/シナイ'	たとえ失敗しても、後悔しない。	confusables-eg
たとえ失敗しても後悔しない。	タトエ'/シッパイ'/_シテモ'/コ'オカイ/シナイ'	たとえ失敗しても後悔しない。	confusables-eg
たぶん明日は雨だろう。	タ'ブン/ア_シタ'ワ/ア'メダロオ	たぶん明日は雨だろう。	confusables-eg
たまには外食しよう。	タマニワ'/ガイショ_ク'/シヨオ'	たまには外食しよう。	confusables-eg
ちょっと疲れぎみだ。	チョ'ット/_ツカレギミダ'	ちょっと疲れぎみだ。	confusables-eg
ついに優勝を果たした。	ツ'イニ/ユウショオオ'/ハタ'_シタ	ついに優勝を果たした。	confusables-eg
テレビを見るかわりに本を読む。	テ'レビオ/ミ'ル/カワリニ'/ホ'ンオ/ヨ'ム	テレビを見るかわりに本を読む。	confusables-eg
ドアを開けた。すると、猫が入ってきた。	ド'アオ/アケタ'、スルト'、ネ'コガ/ハ'イッテ/キ'タ	ドアを開けた。すると、猫が入ってきた。	confusables-eg
とうとう彼は来なかった。	トオトオ'/カ'レワ/コ'ナカッタ	とうとう彼は来なかった。	confusables-eg
どんなに忙しくても朝ごはんは食べる。	ド'ンナニ/イソガシ'_クテモ/アサゴ'ハンワ/タベ'ル	どんなに忙しくても朝ごはんは食べる。	confusables-eg
なかなか終わらない。	ナカナカ'/オワラナイ'	なかなか終わらない。	confusables-eg
パソコンを直してもらった。	パソコンオ'/ナオシ'テ/モラッタ'	パソコンを直してもらった。	confusables-eg
はっきりと意見を述べてください。	ハッキ'リト/イ'ケンオ/ノベ'テ/クダサ'イ	はっきりと意見を述べてください。	confusables-eg
ボタンを押すと、ドアが開く。	ボタンオ'/オ_スト'、ド'アガ/ヒラ'ク	ボタンを押すと、ドアが開く。	confusables-eg
